title,price,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"Commercial Cum Residential Land with House On Sale At Imadol, Lalitpur","2,10,00,000","Lalitpur, Mahalaxmi, BojhepokhariWard No.",Lalitpur,One Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8275
Residential 2.5 Storey house on sale at Tokha,"1,90,00,000","Kathmandu, Tokha500 meter from grande hospital",Kathmandu,Two And Half Floors,,5 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8271
"Residential House ON Sale At Tiakthali, Lalitpur ( Price is negotiable )","1,80,00,000","Lalitpur, Mahalaxmi, Moti Chowk1.5 KM from Balkumari bridge, ring road.",Lalitpur,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8269
"Residential House On Sale At Tikathali, Lalitpur","1,25,00,000","Lalitpur, Mahalaxmi, BhandariGaun5 KM from Gwarko Chowk, Ring Road.",Lalitpur,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8263
"Residential House On Sale At Kapan, Kathmandu","2,85,00,000","Kathmandu, Budhanilkantha, Sundar BastiBhangal",Kathmandu,Two And Half Floors,,5 Bed Room,6 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8256
"Residential House ON Sale At Dhapakhel, Lalitpur","3,50,00,000","Lalitpur, Milan BastiWard No.",Lalitpur,Three Floors,,8 Bed Room,5 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8242
"Residential House On Sale At Koteshwor , Kathmandu","1,60,00,000","Kathmandu, Shubhakamana Marg100 meters near from ring road",Kathmandu,Three Floors,,10 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8228
"Commercial House ON Sale At Gongabu, Kathmandu","2,00,00,000","Kathmandu, MitranagarWard No.",Kathmandu,Four Floors,,17 Bed Room,12 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8227
"Residential House On Sale At Kapan, Kathmandu","2,50,00,000","Kathmandu, Budhanilkantha, Kapantar Height",Kathmandu,Two And Half Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8222
"Residential House On Sale At Kapan, Kathmandu","1,35,00,000","Kathmandu, Budhanilkantha, Kharibot Chowk3 KM far from Gopi Krishna Cinema, Ring Road.",Kathmandu,Two Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8218
"Residential Bungalow On Sale At Bhainsepati, Lalitpur","3,15,00,000",Lalitpur,Lalitpur,Two And Half Floors,,4 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8217
"Residential House ON Sale At Jorpati, Kathmandu","1,50,00,000","Kathmandu, Gokarneshwar, AttarkhelJust 3 KM near from Chabahil Chowk, Ring Road",Kathmandu,Three And Half Floors,,6 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8203
"Houses for Sale @ Harmony Residency, Saibu Bhaisepati.","2,75,00,000","Lalitpur, SaibuNext to Medicity Hospital.",Lalitpur,Two And Half Floors,,4 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8185
"House on Sale @ Imadol, Lalitpur.","1,90,00,000","Lalitpur, Mahalaxmi, ImadolNear Imadol swimming pool.",Lalitpur,Two And Half Floors,,3 Bed Room,2 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8181
"Apartment for Sale @ S.P Apartment, Tahachal.","1,25,00,000","Kathmandu, Museum MargOpposite of Kitabkhana, museum road near Mahendra Ratna Campus.",Kathmandu,Sixth Floors,,3 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8180
"House on Sale @ Aakasedhara, Kapan","1,70,00,000","Kathmandu, Kapan, AkasedharaNearby Ram Mandir, just below form organic farm.",Kathmandu,Two And Half Floors,,4 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8178
"House for Sale at Manamaiju, Kathmandu.","1,35,00,000","Kathmandu, Tarkeshwor, Basuki Tole.Nearby Indreni pul.",Kathmandu,Two Floors,,6 Bed Room,2 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8177
"House on sale at Tikathali, Lalitpur.","2,35,00,000","Lalitpur, Mahalaxmi, TikathaliNearby falame pul/ Tikathali Ga.Bi.Sa",Lalitpur,Three and Half Floors,,12 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8176
"Semi- Furnished house for Sale @ Bafal, Kathmandu.","3,75,00,000","Kathmandu, Bafal",Kathmandu,Two And Half Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8175
"Apartment On Sale At Balkumari, Lalitpur","1,80,00,000",Lalitpur,Lalitpur,Fourth Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8173
"Residential Bungalow On Sale At Balkumari, Lalitpur","3,25,00,000",Lalitpur,Lalitpur,Two And Half Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8168
"Commercial Cum Residential Bungalow On Sale At Sinamangal, Kathmandu","9,00,00,000","Kathmandu, SinamagalOpposite to Nobel Hospital",Kathmandu,Two And Half Floors,,6 Bed Room,3 Bath Room,3 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8167
well built 2 and half storey house in Chitwan,"80,00,000","Chitwan, Khairahani, Hariyali Tole",Chitwan,Two And Half Floors,,3 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8166
"Residential House ON Sale At Loklanthali, Bhaktapur","1,25,00,000","Bhaktapur, Madhyapur Thimi, Ward No.",Bhaktapur,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8165
"Residential House On Sale At Syuchatar, Kathmandu","2,50,00,000","Kathmandu, Nagarjun, nearby Church and Amarjyoti School1.4 KM from Kalanki Chowk Ring Road.",Kathmandu,Three Floors,,8 Bed Room,4 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8157
"Residential House On Sale At Makalbari,Kathmandu","1,65,00,000","Kathmandu, GokarneshworPragati Tole, 4 KM from Chabahil Chowk, ring road",Kathmandu,Two And Half Floors,,6 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8156
"Residential House On Sale At Man Bahadur Marg, Kathmandu","1,80,00,000","Kathmandu, Budhanilkantha, Man Bahadur MargWard No.",Kathmandu,Two Floors,,5 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8154
"Residential Bungalow On Sale At Goldhunga, Kathmandu","2,80,00,000","Kathmandu, Tarkeshwar2.5 KM from Machhapokhari Chowk, Ring Road.",Kathmandu,Three Floors,,8 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8151
"Residential House On Sale At Dhapakhel, Lalitpur","2,60,00,000",Lalitpur,Lalitpur,Three Floors,,8 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8147
"Commercial Complex For Sale At Dhapasi, Kathmandu","4,25,00,000","Kathmandu, Tokha, Dhapasi HeightLess than 1KM from Basundhara Chowk, Ring Road.",Kathmandu,Three And Half Floors,,8 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8142
House At Kapan,"1,55,00,000","Kathmandu, Budhanilkantha, Chunikhel",Kathmandu,Four Floors,,12 Bed Room,8 Bath Room,3 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8141
"Residential House On Sale At Tokha, Kathmandu","1,50,00,000","Kathmandu, Tokha, Swapnatirtha, LabuWard No.",Kathmandu,Two Floors,,3 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8127
"Commercial Cum Residential House On Sale At Janakpur, Dhanusha","2,00,00,000","Dhanusa, Benga Dabur, Janakpur",Dhanusa,Two Floors,,7 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8122
"Property On Sale At Sohrakhutte, Kathmandu","19,50,00,000",Kathmandu,Kathmandu,Two Floors,,7 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8121
"Residential House On Sale At Sitapaila, Kathmandu","5,50,00,000","Kathmandu, On the way of Ramkot500 Meters near from Ring Road.",Kathmandu,Two And Half Floors,,6 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8117
"Commercial Building On Sale At Gongabu, Kathmandu","5,50,00,000","Kathmandu, Tokha, GongabuWard No.",Kathmandu,Two Floors,,25 Bed Room,30 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8112
"Residential House On Sale At Basundhara, Kathmandu","2,15,00,000","Kathmandu, Tokha, Basundhara, Shree toleBaluwakhani, 300 meter near from Basundhara Chowk, Ring Road.",Kathmandu,Three Floors,,6 Bed Room,3 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8110
"Residential House On Sale At Chabahil, Kathmandu","1,40,00,000","Kathmandu, Ganeshsthanनेपाल बिधुत प्राधिकरणको ठ्याक्कै अगाडि",Kathmandu,Four Floors,,5 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8102
"Residential Bungalow ON Sale At Kadaghri, Kathmandu","6,00,00,000","Kathmandu, Kageshwari Manohara, Pepsicola2KM from jadibuti Chowk, 3 Km from Koteshwor ring road.",Kathmandu,Three Floors,,7 Bed Room,5 Bath Room,4 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8101
For sale house nakhu Nepal medicity hospital,"2,90,00,000",Lalitpur,Lalitpur,Three Floors,,7 Bed Room,5 Bath Room,4 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8098
"Residential House On Sale At Bhainsepati, Lalitpur","2,40,00,000","Lalitpur, Ward No.",Lalitpur,Two And Half Floors,,5 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8096
"residential home On Sale At Bafal, Kathmandu","1,25,00,000","Kathmandu, Nagarjun, Khoupa ToleWard no.",Kathmandu,3 Floors,,8 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8095
"Residential HouSe On Sale At Bhainsepati, Lalitpur","3,80,00,000",LalitpurWard no.,LalitpurWard no.,Two And Half Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8092
"Commercial and Residential House for Sale @ Koteshowar, Kathmandu","3,25,00,000","Kathmandu, Nikhileshowar200 meters near from ringroad, koteshowar",Kathmandu,Four Floors,,12 Bed Room,5 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8084
"Residential House On Sale At Budhanilkantha Municipality Ward No.:04, Pasikot, Kathmandu","1,30,00,000","Kathmandu, Bishnu Budhanilkantha, Ward No.",Kathmandu,One Floors,,3 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8083
"Residential House On Sale At Sano Bharyang, Kathmandu","2,25,00,000",Kathmandu,Kathmandu,Two And Half Floors,,7 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8081
"Commercial Land With House On Sale At Balaju, Kathmandu","7,25,00,000","Kathmandu, Ward No.",Kathmandu,Two And Half Floors,,7 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8074
"Residential House On Sale At Chapali, Kathmandu","2,55,00,000","Kathmandu, Budhanilkantha, Chapali Ghumti3 KM from Narayangopal Chowk, Ring Road.",Kathmandu,Two And Half Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8071
"Residential House On Sale At Kumarigal, Kathmandu","2,30,00,000","Kathmandu, Ward No.",Kathmandu,Two And Half Floors,,5 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8069
"Residential House On Sale At Sundarbasti, Kathmandu","3,00,00,000","Kathmandu, Budhanilkantha, Sundar Basti3 KM from Narayangopal Chowk, Chakrapath.",Kathmandu,Two And Half Floors,,5 Bed Room,6 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8068
"Residential House On Sale At Sundarbasti, Kathmandu","2,00,00,000","Kathmandu, Budhanilkantha, Sundar Basti3 KM from Narayangopal Chowk, Chakrapath.",Kathmandu,Two And Half Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8067
"Modern Residential Bungalow On Sale At Banasthali, Kathmandu","2,55,00,000","Kathmandu, Annapurna ChowkWard No.",Kathmandu,Two And Half Floors,,4 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8059
"Residential House On Sale At IMadol, Lalitpur","1,90,00,000","Lalitpur, Mahalaxmi, SanagaunWard no",Lalitpur,Two And Half Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8057
"Residential House On Sale At Kapan, Kathmandu","3,60,00,000","Kathmandu, Budhanilkantha, Jyotinagar, EktabastiWard no.10, 1 KM from Sukedhara Chowk, Ring Road.",Kathmandu,Two And Half Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8053
"Commercial Land On Sale At Hattigauda, Kathmandu","17,48,00,000","Kathmandu, Budhanilkantha, Bansbari300 meters from Sahid Gangalal national heart center on the main highway road towards Budhanilkantha.",Kathmandu,Two And Half Floors,,6 Bed Room,7 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8051
"Residential House On Sale At Thaiba, Lalitpur","2,00,00,000","Lalitpur, Godawari",Lalitpur,Two And Half Floors,,6 Bed Room,7 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8046
"Commercial Property On Sale At Thamel, Kathmendu","24,00,00,000",Kathmandu,Kathmandu,Two And Half Floors,,6 Bed Room,7 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8044
"Residential House On Sale At Baneshwor, Kathmandu","7,00,00,000",Kathmandu,Kathmandu,Three And Half Floors,,6 Bed Room,6 Bath Room,3 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8041
"Residential Bungalow On Sale At Sitapaila, Kathmandu","2,30,00,000","Kathmandu, Nagarjun, Ramkot, House No.",Kathmandu,Two Floors,,4 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8039
"Residential House On Sale At Sukedhara, Kathmandu","3,50,00,000","Kathmandu, Budhanilkantha, Sukedhara1 KM from Sukedhara Chowk, RingRoad.",Kathmandu,Three And Half Floors,,9 Bed Room,7 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8031
"Residential House On Sale At Sukedhara, Kathmandu","5,25,00,000","Kathmandu, Budhanilkantha, Sukedhara1 KM from Sukedhara Chowk, RingRoad.",Kathmandu,Three And Half Floors,,9 Bed Room,7 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8030
"Commercial Building On Sale At Ranibari, Kathmandu","10,00,00,000","Kathmandu, Ranibari",Kathmandu,Three And Half Floors,,9 Bed Room,7 Bath Room,3 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8029
पोखरा महानगरपालिका लेखनाथ मोहरियाको हिमालय हाइल्याण्डमा अवस्थित आकर्षक नयाँ आधुनिक घर बिक्रीमा,"1,90,00,000","Kaski, Pokhara",Kaski,Three And Half Floors,,9 Bed Room,7 Bath Room,3 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8028
"House On Sale At Bhangal, Kathmandu","2,50,00,000","Kathmandu, Budhanilkantha, Bhangal",Kathmandu,Three And Half Floors,,9 Bed Room,7 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8025
"Residential House On Sale At Goldhunga, Kathmandu","1,60,00,000","Kathmandu, Tarkeshwar, Sundar Basti",Kathmandu,Two And Half Floors,,6 Bed Room,3 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8018
House On Sale @ Satdobato,"2,60,00,000",LalitpurBehind Industrial area Pani Tanki.,LalitpurBehind Industrial area Pani Tanki.,Four Floors,,15 Bed Room,7 Bath Room,4 Living Room,4 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8012
"House on sale st Guheshowari, Kathmandu","1,80,00,000","Kathmandu, Annapurna chowk",Kathmandu,Three and Half Floors,,3 Bed Room,3 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8008
"House on sale at Simaltar, Kapan","2,50,00,000","Kathmandu, Kapan, SimaltarNear white gumba and dixyalaya school",Kathmandu,Two And Half Floors,,7 Bed Room,4 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8004
"House on sale at Sitapaila, Padma Colony.","1,75,00,000","Kathmandu, Nagarjun, Padma ColonyNear Harisiddhi Temple.",Kathmandu,Two And Half Floors,,3 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8002
"House on sale at Kausaltar, Bhaktapur","6,50,00,000","Bhaktapur, Madhyapur ThimiIn-front of Janamatri School.",Bhaktapur,Five Floors,,8 Bed Room,8 Bath Room,4 Living Room,4 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8001
"House on Sale @ Ghattaghar, Bhaktapur","12,00,00,000","Bhaktapur, Madhyapur Thimi, GathagharIn-between Gathaghar chowk and chardobato chowk/nearby nagarik community hospital",Bhaktapur,Four Floors,,8 Bed Room,8 Bath Room,4 Living Room,4 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7996
"House On Sale @ Khumaltar Height, Lalitpur","4,60,00,000","Lalitpur, Khumaltar HeightNear from White House Collage.",Lalitpur,Three and Half Floors,,14 Bed Room,4 Bath Room,4 Living Room,4 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7994
"Modern house on sale at Shangkhmul, Kathmandu","9,00,00,000",Kathmandu,Kathmandu,Three and Half Floors,,8 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7989
"Residential House On Sale At Kapan, Kathmandu","1,40,00,000","Kathmandu, Budhanilkantha, Chunikhel1.5 KM from Hattigauda Chowk, Budhanilkantha Main road.",Kathmandu,One Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7985
"Commercial Cum Residential House On Sale At Imadol, Lalitpur","2,45,00,000","Lalitpur, Mahalaxmi, Ochu HeightWard No.",Lalitpur,Two And Half Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7983
"Commercial Cum Residential House On Sale At Imadol, Lalitpur","1,60,00,000","Lalitpur, Mahalaxmi, Shital Height2.5 KM from Satdobato Chowk, Ring Road.",Lalitpur,Three Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7980
"Residential House On Sale At Chyasal, Lalitpur","3,50,00,000",Lalitpur,Lalitpur,Two And Half Floors,,7 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7978
"Residential House On Sale At Nakhu, Lalitpur","3,50,00,000",Lalitpur,Lalitpur,Two And Half Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7977
आकर्षक घर बिक्रीमा,"1,85,00,000","Kathmandu, Budhanilkantha",Kathmandu,Two And Half Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7974
Residential Bungalow On Sale At Chapali,"2,75,00,000","Kathmandu, Budhanilkantha, Saandar Tole1 KM From Ganesh School",Kathmandu,Two And Half Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7962
New House on Sale in Imadol Height ( Flat System House),"1,92,00,000","Lalitpur, Mahalaxmi",Lalitpur,Two And Half Floors,,4 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7961
"Residential House On Sale At Dhapasi, Kathmandu","3,15,00,000","Kathmandu, Tokha, Dhapasi HeightKalyan Colony, Approximately 800 meters from Basundhara Chowk, Ring road.",Kathmandu,Three And Half Floors,,8 Bed Room,5 Bath Room,4 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7959
House On Sale At Manamaiju - 10,"2,30,00,000","Kathmandu, Tarkeshwor, Shivanagar5 minutes walking distance from New bus park, Gongabu.",Kathmandu,Three And Half Floors,,4 Bed Room,5 Bath Room,1 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7954
"House On Sale At Jorpati, Bhaktapur","1,50,00,000","Bhaktapur, Suryabinayak",Bhaktapur,Three Floors,,4 Bed Room,2 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7951
"Residential House On Sale At Bafal, Kathmandu","2,20,00,000",Kathmandu,Kathmandu,Two And Half Floors,,5 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7946
ताहाचल काठमाडौँमा व्यवसायिक तथा आवासिय दुवै प्रयोजनको लागि उपयुक्त घर विक्रिमा,"1,70,00,000","Kathmandu, चांगलजिल्ला शिक्षा कार्यालय नजिकै, महेन्द्र रत्न क्याम्पसको पछाडि ,बिष्णुमति कोरिडोर बाट ५० मिटरको दुरीमा",Kathmandu,Three And Half Floors,,6 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7941
"House For Sell At Thulo Bharyang, Kathmandu","2,10,00,000","Kathmandu, Gairi Gau2 KM from Swyambhu, ring road.",Kathmandu,Three Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7940
"Residential House On Sale At Makalbari, Kathmandu","2,45,00,000","Kathmandu, Gokarneshwor, Ward No.",Kathmandu,Three And Half Floors,,8 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7932
House On Sale - Brihat Community Living Bhainsepati - 15 C,"3,37,62,000",Lalitpur,Lalitpur,Two And Half Floors,,4 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7928
Small apartment on sale at Mero City Apartment Hattiban,"41,00,000",Lalitpur,Lalitpur,Two And Half Floors,,1 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7927
Apartment on sale at Dhumbarahi,"81,00,000",Kathmandu,Kathmandu,Two And Half Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7926
"Residential House On Sale At Kapan, Kathmandu","3,65,00,000","Kathmandu, Budhanilkantha, Tenzing Chowk2 KM from Gopi Krishna Cinema and Sukedhara Chowk Ring Road.",Kathmandu,Two And Half Floors,,7 Bed Room,8 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7922
"Residential House On Sale At Tikathali, Lalitpur ( Price Is Negotiable )","1,32,00,000","Lalitpur, Mahalaxmi2.5 KM from Gwarko Chowk, Ring Road.",Lalitpur,One Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7921
"Residential House On Sale At  Sitapakha Hattiban, Lalitpur","2,10,00,000","Lalitpur, Mahalaxmi, Sitapakha Height2 KM from Gwarko and Satdobato chowk Ring Road.",Lalitpur,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7918
"Residential House On Sale At Dallu Awas, Kathmandu","1,90,00,000","Kathmandu, Dallu Aawas",Kathmandu,Two Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7917
"Residential House On Sale At Tikathali, Lalitpur","1,15,00,000","Lalitpur, Mahalaxmi, Tinakune Chowk, Tikathali Height2 KM from Gwarko Chowk Ring Road",Lalitpur,One Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7916
"Residential House On Sale At Gothatar, Kathmandu","2,20,00,000","Kathmandu, Kageshwari Manohara, Birendra Chowk, Kandaghari200 meter near from Gandhi School and Sun City Apartment.",Kathmandu,Two And Half Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7913
"Brihat Community Living , Bhaisepati 2 B","2,42,73,000",Lalitpur,Lalitpur,Two And Half Floors,,4 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7905
"Residential Bungalow On Sale At Dhpasi Height, Kathmandu","7,30,00,000","Kathmandu, Tokha, Mishranti Tole1.5 KM from Basundhara Chowk, Ring Road.",Kathmandu,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7901
"Commercial Cum Residential House On Sale At Nakhipot, Lalitpur","3,70,00,000","Lalitpur, Ward No.",Lalitpur,Two And Half Floors,,10 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7900
